provinsi,kota,nik,nama,tempat,tgl_lahir,jenis_kelamin,golongan_darah,alamat,rt/rw,kel/desa,kecamatan,agama,status,pekerjaan,kewarganegaraan,masa_berlaku,terbuat,pas_photo
BALI,DENPASAR,5191371770790282,Rema Renato,wlcymqzi,04-08-2016,LAKI-LAKI,O,jl. nytye svwcpju 5,988/166,denpasar,denpasar utara,KONGHUCU,KAWIN,fjucjbhdqoqs,WNI,SEUMUR HIDUP,22-06-2021,src/image.jpeg
BALI,DENPASAR,5806594389552624,Daren Phillip,ctqpvmgu,13-04-1993,LAKI-LAKI,B,jl. urpba egeoxep 8,095/770,denpasar,denpasar utara,KRISTEN,BELUM KAWIN,dgcbhgojobvg,WNI,SEUMUR HIDUP,29-09-2021,src/image.jpeg
BALI,DENPASAR,5717214402173558,Bradley Thad,ctfhmapl,21-02-2006,PEREMPUAN,O,jl. cjoue esmhicv 2,998/745,denpasar,denpasar utara,KONGHUCU,KAWIN,hcjimzzjcfqv,WNI,SEUMUR HIDUP,29-11-2021,src/image.jpeg
BALI,DENPASAR,5014415001583034,Michel Angeles,aavtmcpu,30-05-2000,PEREMPUAN,O,jl. unyzw tdymfdl 6,792/147,denpasar,denpasar utara,KONGHUCU,KAWIN,rttcrqxzkmxd,WNI,SEUMUR HIDUP,31-10-2021,src/image.jpeg
BALI,DENPASAR,5722290371590472,Ramona Colin,ykmobnbj,25-12-2007,LAKI-LAKI,A,jl. hmfvt mucxfky 4,130/926,denpasar,denpasar utara,KONGHUCU,KAWIN,aqgqkecsvsec,WNI,SEUMUR HIDUP,10-01-2022,src/image.jpeg
BALI,DENPASAR,5223612781640516,Keven Ardith,tsxuehnu,13-02-1995,PEREMPUAN,O,jl. sycoq bmlhnig 7,259/026,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,eyvuznhsrkpt,WNI,SEUMUR HIDUP,08-06-2021,src/image.jpeg
BALI,DENPASAR,5397346903811043,Johnny Roberto,fnevaeql,10-11-2005,PEREMPUAN,AB,jl. ozkin zceopqg 6,872/097,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,afjmjqwdunhw,WNI,SEUMUR HIDUP,21-07-2021,src/image.jpeg
BALI,DENPASAR,5174036515516514,Wilton Merrill,pokyhtnl,20-08-1997,LAKI-LAKI,O,jl. cczfr fsinxnn 9,548/733,denpasar,denpasar utara,KONGHUCU,KAWIN,idmnwxcjkwgx,WNI,SEUMUR HIDUP,21-11-2021,src/image.jpeg
BALI,DENPASAR,5445796325341955,Jerrell Hans,lempafrs,12-01-1994,LAKI-LAKI,B,jl. vaqvn zcerjws 8,674/858,denpasar,denpasar utara,ISLAM,KAWIN,qzcagyeiyyix,WNI,SEUMUR HIDUP,13-01-2022,src/image.jpeg
BALI,DENPASAR,5489017279112118,Kacy Elizbeth,ftkftfbm,30-08-2011,PEREMPUAN,B,jl. onlmy bjdinrw 5,906/231,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,bkdoqzyogjmi,WNI,SEUMUR HIDUP,22-04-2022,src/image.jpeg
BALI,DENPASAR,5911459547479970,Dona Augustus,ayidbzoo,16-08-2011,LAKI-LAKI,O,jl. ktyll xkwtaqy 2,208/799,denpasar,denpasar utara,HINDU,BELUM KAWIN,hnqbtwhaaopm,WNI,SEUMUR HIDUP,04-05-2022,src/image.jpeg
BALI,DENPASAR,5943790613532811,Adam Linh,xxhjweun,11-07-1991,LAKI-LAKI,A,jl. fyvpa ypezjqx 3,006/622,denpasar,denpasar utara,HINDU,BELUM KAWIN,usjmpjodjgru,WNI,SEUMUR HIDUP,19-10-2021,src/image.jpeg
BALI,DENPASAR,5456929351357262,Fredia Erasmo,cspxtvng,07-10-2004,LAKI-LAKI,B,jl. ordvn vxejjek 7,042/900,denpasar,denpasar utara,KRISTEN,KAWIN,xhvzgasegzng,WNI,SEUMUR HIDUP,08-01-2022,src/image.jpeg
BALI,DENPASAR,5398923226581770,Lou Shawna,wulrydcn,17-07-2010,PEREMPUAN,O,jl. asdve ovyphgz 7,379/404,denpasar,denpasar utara,HINDU,KAWIN,vbjujnugkiuo,WNI,SEUMUR HIDUP,13-07-2021,src/image.jpeg
BALI,DENPASAR,5933084053288981,Tajuana Merrill,johkppbw,09-02-1994,PEREMPUAN,O,jl. lkxxi dxgewnq 3,666/261,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,ftmmbwykdgii,WNI,SEUMUR HIDUP,18-10-2021,src/image.jpeg
BALI,DENPASAR,5777200743697324,Ilse Harris,lnnatrce,14-02-1995,PEREMPUAN,AB,jl. cncwj eiylocm 5,712/738,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,takleyhqcytt,WNI,SEUMUR HIDUP,16-11-2021,src/image.jpeg
BALI,DENPASAR,5967622331374614,Leonardo Georgina,hfnraeri,26-12-2016,PEREMPUAN,AB,jl. udycm gbevkpi 8,797/171,denpasar,denpasar utara,KONGHUCU,KAWIN,ecadzqnmrfwh,WNI,SEUMUR HIDUP,25-10-2021,src/image.jpeg
BALI,DENPASAR,5047598383875771,Henrietta Xavier,rmatqymi,03-02-1998,LAKI-LAKI,O,jl. odmlq zxglrie 1,528/399,denpasar,denpasar utara,KONGHUCU,KAWIN,cmirrxathpxc,WNI,SEUMUR HIDUP,01-11-2021,src/image.jpeg
BALI,DENPASAR,5056018476250934,Marietta Rocco,meapelze,25-12-2014,PEREMPUAN,AB,jl. crpwm kivcopg 5,949/003,denpasar,denpasar utara,KONGHUCU,KAWIN,frihiepzteia,WNI,SEUMUR HIDUP,02-09-2021,src/image.jpeg
BALI,DENPASAR,5058866124763171,Millard Michaela,hfkotlyy,13-09-1997,PEREMPUAN,O,jl. wvmwh eqkbzmv 5,939/353,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,hvvddcwnlbix,WNI,SEUMUR HIDUP,22-06-2021,src/image.jpeg
BALI,DENPASAR,5187793953667612,Vito Kermit,biavpfto,22-11-1990,PEREMPUAN,O,jl. gyqvv ybnvqsp 3,507/966,denpasar,denpasar utara,HINDU,BELUM KAWIN,fvhcjbekyxnq,WNI,SEUMUR HIDUP,23-08-2021,src/image.jpeg
BALI,DENPASAR,5354405459918039,Rubin Herb,pohxuqox,22-05-2015,PEREMPUAN,O,jl. trcff moxdjzj 9,963/371,denpasar,denpasar utara,KATOLIK,KAWIN,jdmjjfyvzohs,WNI,SEUMUR HIDUP,25-02-2022,src/image.jpeg
BALI,DENPASAR,5396937969208351,Mario Takisha,ysmsrkub,16-04-1998,LAKI-LAKI,O,jl. jzjad qlngcej 2,461/474,denpasar,denpasar utara,KONGHUCU,KAWIN,ijlyeamkudns,WNI,SEUMUR HIDUP,25-01-2022,src/image.jpeg
BALI,DENPASAR,5109159023711759,Eugene Shaun,nbqmjugz,02-07-2006,PEREMPUAN,O,jl. onhcb nklfxnc 1,186/876,denpasar,denpasar utara,KATOLIK,KAWIN,adkusbxxoswb,WNI,SEUMUR HIDUP,22-04-2022,src/image.jpeg
BALI,DENPASAR,5224415431129694,Valorie Shyla,ynightkb,30-01-2012,LAKI-LAKI,B,jl. segjq xjrlsjo 4,076/159,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,xtzdltqlpkmv,WNI,SEUMUR HIDUP,01-01-2022,src/image.jpeg
BALI,DENPASAR,5707863696333726,Dennis Carmelina,couiivbg,07-08-2002,LAKI-LAKI,O,jl. fraoe cygxuay 8,155/774,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,nmeounctfvow,WNI,SEUMUR HIDUP,03-11-2021,src/image.jpeg
BALI,DENPASAR,5460228100299561,Sandra Yuonne,zfmaebbv,11-09-1996,PEREMPUAN,O,jl. jktnd yaxnzhe 2,527/520,denpasar,denpasar utara,KONGHUCU,KAWIN,uzacqtkengyd,WNI,SEUMUR HIDUP,21-05-2021,src/image.jpeg
BALI,DENPASAR,5653383890168498,Julie Viva,rvporitr,17-07-2003,PEREMPUAN,O,jl. tpoww byahehk 3,088/043,denpasar,denpasar utara,KONGHUCU,KAWIN,pempoffprfxf,WNI,SEUMUR HIDUP,15-10-2021,src/image.jpeg
BALI,DENPASAR,5396414443762568,Annalisa Antwan,lepcoexd,01-05-1998,PEREMPUAN,AB,jl. ledla luscbhx 7,358/653,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,wkhoydqfbubw,WNI,SEUMUR HIDUP,27-04-2022,src/image.jpeg
BALI,DENPASAR,5784267121470342,Hellen Travis,njuutncp,12-09-2011,LAKI-LAKI,A,jl. jgahk swwuexq 0,711/298,denpasar,denpasar utara,KONGHUCU,KAWIN,ilpuugjiphlo,WNI,SEUMUR HIDUP,21-12-2021,src/image.jpeg
BALI,DENPASAR,5230696246380451,Wilmer Magaly,audueihh,22-04-2006,LAKI-LAKI,O,jl. gfxjp qqeyowb 6,890/008,denpasar,denpasar utara,ISLAM,KAWIN,sxnbsuqpcfzn,WNI,SEUMUR HIDUP,18-12-2021,src/image.jpeg
BALI,DENPASAR,5290007824667617,Leah Simon,gqompyri,22-06-1990,LAKI-LAKI,O,jl. actyw ktqshjl 6,460/448,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,tromkpyzwqgd,WNI,SEUMUR HIDUP,06-01-2022,src/image.jpeg
BALI,DENPASAR,5149102522399101,Efrain Brooks,gsfpfjor,10-05-2018,PEREMPUAN,B,jl. jndeu gkaffbd 3,391/682,denpasar,denpasar utara,BUDDHA,KAWIN,qaocrntnbtlg,WNI,SEUMUR HIDUP,08-12-2021,src/image.jpeg
BALI,DENPASAR,5687907281454585,Kraig Chong,ptwrggzh,16-09-2001,LAKI-LAKI,AB,jl. aalzo dobquul 2,590/672,denpasar,denpasar utara,HINDU,BELUM KAWIN,lgfdpjoomsmp,WNI,SEUMUR HIDUP,04-04-2022,src/image.jpeg
BALI,DENPASAR,5639295553852375,Darrell Shila,ekyzoxrx,12-12-1994,LAKI-LAKI,O,jl. kwyvm wkifver 5,537/875,denpasar,denpasar utara,KONGHUCU,KAWIN,bvvfzifzgyyk,WNI,SEUMUR HIDUP,31-08-2021,src/image.jpeg
BALI,DENPASAR,5181057130300042,Mack Jeffrey,hixzzyjv,01-09-2016,LAKI-LAKI,A,jl. gxzhd ymcwzmu 7,389/107,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,plireeccttvp,WNI,SEUMUR HIDUP,17-02-2022,src/image.jpeg
BALI,DENPASAR,5131525864069902,Linn Wendell,gyjziujz,15-01-1990,PEREMPUAN,O,jl. vfexj quqyuqd 1,214/246,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,fzwumbsbxxxt,WNI,SEUMUR HIDUP,31-10-2021,src/image.jpeg
BALI,DENPASAR,5162629344313178,Osvaldo Saul,kdplgxbe,03-04-2007,PEREMPUAN,O,jl. hozpr dvfnqiw 7,255/604,denpasar,denpasar utara,KONGHUCU,KAWIN,xgoaljaqkxdp,WNI,SEUMUR HIDUP,02-10-2021,src/image.jpeg
BALI,DENPASAR,5731307441505472,Emilio Allie,jxdkafck,25-04-1992,LAKI-LAKI,A,jl. rarkv nupdfad 7,167/629,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,dvatbsdnccgr,WNI,SEUMUR HIDUP,19-05-2021,src/image.jpeg
BALI,DENPASAR,5572487887292310,Orval Ligia,bgotjufq,22-04-1995,LAKI-LAKI,O,jl. ciwzi nrtmzvg 2,209/078,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,jovkwygnlnjx,WNI,SEUMUR HIDUP,11-05-2022,src/image.jpeg
BALI,DENPASAR,5215856567317388,Jenice Randal,gyemtfpj,23-07-2019,LAKI-LAKI,B,jl. dhugq hzwkyhg 6,721/827,denpasar,denpasar utara,HINDU,BELUM KAWIN,ikbogooakfsa,WNI,SEUMUR HIDUP,26-02-2022,src/image.jpeg
BALI,DENPASAR,5068881253325858,Carley Jimmy,jadewyyn,18-06-2006,PEREMPUAN,O,jl. tubfn rgmeymc 1,663/175,denpasar,denpasar utara,HINDU,BELUM KAWIN,mmtzjtkccdzp,WNI,SEUMUR HIDUP,27-03-2022,src/image.jpeg
BALI,DENPASAR,5953026742632545,Israel Aliza,zqalhegy,14-05-2005,PEREMPUAN,O,jl. apjut rflfvrh 1,494/302,denpasar,denpasar utara,KONGHUCU,KAWIN,oehyituhblpp,WNI,SEUMUR HIDUP,08-04-2022,src/image.jpeg
BALI,DENPASAR,5161804110834393,Susan Tanja,engjzrfu,13-10-2000,PEREMPUAN,O,jl. slzkz vvarypg 0,160/762,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,rovcuienmyey,WNI,SEUMUR HIDUP,12-11-2021,src/image.jpeg
BALI,DENPASAR,5521697095160884,Kim Brendan,xhpbvrro,25-01-2010,PEREMPUAN,AB,jl. idwsc xcrybpb 3,451/564,denpasar,denpasar utara,HINDU,KAWIN,qyqwvjzdpmcs,WNI,SEUMUR HIDUP,08-02-2022,src/image.jpeg
BALI,DENPASAR,5103009308507302,Oren Isaiah,wanlouda,07-11-2002,PEREMPUAN,O,jl. rjtqv mtilorf 0,048/688,denpasar,denpasar utara,BUDDHA,KAWIN,iqgskqkifjuh,WNI,SEUMUR HIDUP,19-06-2021,src/image.jpeg
BALI,DENPASAR,5211902181078333,Margorie Eleanore,focwtpak,23-09-1999,PEREMPUAN,B,jl. qdhrx fdxudof 8,948/384,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,xhwfcanakfqr,WNI,SEUMUR HIDUP,30-03-2022,src/image.jpeg
BALI,DENPASAR,5739481374763762,Lemuel Monica,ckqertey,07-02-2013,PEREMPUAN,B,jl. ykvzd wuadsnd 9,875/037,denpasar,denpasar utara,KATOLIK,KAWIN,rhfhuanndkdo,WNI,SEUMUR HIDUP,02-03-2022,src/image.jpeg
BALI,DENPASAR,5541862716202560,Euna Numbers,gojcbgyk,21-09-2005,LAKI-LAKI,A,jl. cqhdn znjewll 7,513/552,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,vtzesteqozfv,WNI,SEUMUR HIDUP,21-04-2022,src/image.jpeg
BALI,DENPASAR,5870805674199370,Caleb Rosanne,ldqngzuv,03-09-2018,PEREMPUAN,A,jl. gzzdj huzcims 5,358/908,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,jzzzgvpdbtzv,WNI,SEUMUR HIDUP,06-01-2022,src/image.jpeg
BALI,DENPASAR,5910482687128177,Arminda Vera,oycejdja,23-06-2003,LAKI-LAKI,O,jl. pkdyo bvxwxue 0,035/261,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,fxfmutmdqhzs,WNI,SEUMUR HIDUP,14-05-2022,src/image.jpeg
BALI,DENPASAR,5433582078219368,Idalia Corrinne,qdhjlpcl,01-09-2003,LAKI-LAKI,B,jl. vswdi cjhddxc 5,275/241,denpasar,denpasar utara,KONGHUCU,KAWIN,smhfnvawbckq,WNI,SEUMUR HIDUP,04-03-2022,src/image.jpeg
BALI,DENPASAR,5877191269901334,Cecelia Ngoc,npdfcayq,19-03-1998,LAKI-LAKI,O,jl. vbuso eixhgde 0,846/895,denpasar,denpasar utara,KONGHUCU,KAWIN,xhoiauaglniy,WNI,SEUMUR HIDUP,24-07-2021,src/image.jpeg
BALI,DENPASAR,5360832414520283,Lois Roscoe,qgqhwnpq,25-04-1995,PEREMPUAN,A,jl. yxafs dwumxku 1,506/054,denpasar,denpasar utara,BUDDHA,KAWIN,yqhntrucfodz,WNI,SEUMUR HIDUP,04-12-2021,src/image.jpeg
BALI,DENPASAR,5995715058902482,Larae Jewel,cwgodwpb,11-10-2009,PEREMPUAN,O,jl. cjtsm fjkrxcg 0,207/665,denpasar,denpasar utara,HINDU,KAWIN,whbwnbflzqmg,WNI,SEUMUR HIDUP,16-07-2021,src/image.jpeg
BALI,DENPASAR,5994630136855154,Kendrick George,iuaoahrv,11-02-2015,LAKI-LAKI,O,jl. uhszq vhgyboe 5,222/759,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,hwevaqpkjthw,WNI,SEUMUR HIDUP,19-10-2021,src/image.jpeg
BALI,DENPASAR,5218792291984531,Guillermo Charlie,ujirohew,28-05-2004,PEREMPUAN,O,jl. hpems ylzvbek 3,567/154,denpasar,denpasar utara,KONGHUCU,KAWIN,whvcgnifgfis,WNI,SEUMUR HIDUP,17-04-2022,src/image.jpeg
BALI,DENPASAR,5566750296447767,Keneth Ike,swreomcq,09-12-2006,LAKI-LAKI,O,jl. vpnwy ddvveuz 3,318/917,denpasar,denpasar utara,KRISTEN,BELUM KAWIN,wkqgfgxsiiqy,WNI,SEUMUR HIDUP,25-09-2021,src/image.jpeg
BALI,DENPASAR,5641490008813536,Burl Lynwood,sykwuyev,29-05-2015,LAKI-LAKI,O,jl. ekjxs xxiypyo 5,286/204,denpasar,denpasar utara,KONGHUCU,KAWIN,lvqxwguxoxlo,WNI,SEUMUR HIDUP,15-09-2021,src/image.jpeg
BALI,DENPASAR,5239375703123233,Marcus Ling,zedztrku,03-08-1995,LAKI-LAKI,A,jl. qkcin nsmthfd 2,695/994,denpasar,denpasar utara,KATOLIK,KAWIN,ltpzmsaycgcm,WNI,SEUMUR HIDUP,11-07-2021,src/image.jpeg
BALI,DENPASAR,5656375756607925,Delbert Madalene,qrrsdbhb,12-10-1994,PEREMPUAN,B,jl. bgejc ftyeskw 5,204/448,denpasar,denpasar utara,KATOLIK,KAWIN,wxfuqohtjuxe,WNI,SEUMUR HIDUP,15-10-2021,src/image.jpeg
BALI,DENPASAR,5455495003341010,Odelia Treva,qtdhgeqc,07-03-2017,PEREMPUAN,O,jl. tksnd ysewdlw 2,532/110,denpasar,denpasar utara,BUDDHA,BELUM KAWIN,tjrmwoifsmjt,WNI,SEUMUR HIDUP,25-07-2021,src/image.jpeg
BALI,DENPASAR,5387605417148091,Morton Reggie,luuzgdta,30-03-2000,LAKI-LAKI,B,jl. emxpc jexibrd 7,900/485,denpasar,denpasar utara,BUDDHA,BELUM KAWIN,wzzmgxmyqprx,WNI,SEUMUR HIDUP,26-03-2022,src/image.jpeg
BALI,DENPASAR,5853655770464608,Hai Cristopher,qtkkofpk,25-06-2002,PEREMPUAN,O,jl. qcvvg vrlqadi 3,093/066,denpasar,denpasar utara,KONGHUCU,KAWIN,lmyojbxtdatm,WNI,SEUMUR HIDUP,17-09-2021,src/image.jpeg
BALI,DENPASAR,5290934521964564,Burt Jesus,tyetidea,15-02-2001,LAKI-LAKI,A,jl. chzeq picglyv 6,120/629,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,befxjwkrmcfz,WNI,SEUMUR HIDUP,18-07-2021,src/image.jpeg
BALI,DENPASAR,5676897687768102,Sylvia Emory,sqgdbtla,13-06-2013,PEREMPUAN,B,jl. xcubd zxzposf 3,709/034,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,ytolzpfqiiiv,WNI,SEUMUR HIDUP,07-09-2021,src/image.jpeg
BALI,DENPASAR,5505022938090472,Min Dona,dspikrfl,14-03-2015,PEREMPUAN,B,jl. xyrom irpqczh 7,889/538,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,ezxzfxxechnl,WNI,SEUMUR HIDUP,23-09-2021,src/image.jpeg
BALI,DENPASAR,5477124370500424,Shawn Bruce,hmxyryrz,08-11-2007,LAKI-LAKI,AB,jl. xwhtd cuknjiy 0,623/830,denpasar,denpasar utara,HINDU,BELUM KAWIN,ymfjyfemsuly,WNI,SEUMUR HIDUP,25-10-2021,src/image.jpeg
BALI,DENPASAR,5033492809298358,Maye Jerry,fzawnvzk,19-05-2014,LAKI-LAKI,A,jl. bcori fmolreq 5,934/530,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,xmidhfpznbag,WNI,SEUMUR HIDUP,22-07-2021,src/image.jpeg
BALI,DENPASAR,5590191256222601,Mel Lynna,eakggawy,12-03-2001,PEREMPUAN,O,jl. azgoj qiqjjto 0,372/804,denpasar,denpasar utara,KATOLIK,KAWIN,fgreohdeaehz,WNI,SEUMUR HIDUP,08-10-2021,src/image.jpeg
BALI,DENPASAR,5592098031218012,Arnulfo Freddie,wloaxpyp,03-12-2012,LAKI-LAKI,O,jl. tjkpj iwnkrkc 5,710/284,denpasar,denpasar utara,KONGHUCU,KAWIN,sebsoorothkd,WNI,SEUMUR HIDUP,18-09-2021,src/image.jpeg
BALI,DENPASAR,5679502890819106,Annamarie Starr,ojsfnkyl,16-12-1998,LAKI-LAKI,O,jl. hdkwa ulhybos 3,204/957,denpasar,denpasar utara,HINDU,KAWIN,wlqbfijckmvc,WNI,SEUMUR HIDUP,09-11-2021,src/image.jpeg
BALI,DENPASAR,5998947685320559,Rosalia Chantay,iiawaans,20-12-2018,PEREMPUAN,O,jl. qitfr uasdakd 1,661/140,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,ruugucxaxrgo,WNI,SEUMUR HIDUP,11-10-2021,src/image.jpeg
BALI,DENPASAR,5425321767046792,Coleman Jeff,lsmoisxa,13-08-1996,LAKI-LAKI,A,jl. vsjey hgrzpwb 7,259/772,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,xmifgtqtmmli,WNI,SEUMUR HIDUP,11-06-2021,src/image.jpeg
BALI,DENPASAR,5345135478575607,Cherryl Hershel,rkxnphva,17-11-2006,PEREMPUAN,A,jl. vvgvu tiedufo 2,732/164,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,mrvqutofzjnf,WNI,SEUMUR HIDUP,31-05-2021,src/image.jpeg
BALI,DENPASAR,5550185971015063,Dillon Glenn,hyebqrdv,12-05-1999,PEREMPUAN,O,jl. ocpgr ztgdiqc 0,871/144,denpasar,denpasar utara,KONGHUCU,KAWIN,ulpanbqksknc,WNI,SEUMUR HIDUP,07-08-2021,src/image.jpeg
BALI,DENPASAR,5839580774772230,Kandis Maxima,wzbjchic,22-02-1996,PEREMPUAN,B,jl. rqtxb nexgzjw 8,076/140,denpasar,denpasar utara,HINDU,BELUM KAWIN,alikyqzwfpqx,WNI,SEUMUR HIDUP,27-03-2022,src/image.jpeg
BALI,DENPASAR,5572257721526047,Sandee Lee,mbgflaxu,05-06-2006,LAKI-LAKI,O,jl. jehbr buxvtrz 3,644/653,denpasar,denpasar utara,HINDU,KAWIN,kanpaqykkwdo,WNI,SEUMUR HIDUP,23-05-2021,src/image.jpeg
BALI,DENPASAR,5753443581317709,Brooke Devon,repjqdvq,31-01-1995,PEREMPUAN,O,jl. lffdi ogtajeo 8,991/641,denpasar,denpasar utara,KONGHUCU,KAWIN,oorxhgbtelqd,WNI,SEUMUR HIDUP,26-09-2021,src/image.jpeg
BALI,DENPASAR,5113161864653960,Buck Audry,qrmafisl,23-01-2003,PEREMPUAN,A,jl. dfeao xbqpnio 4,521/499,denpasar,denpasar utara,KONGHUCU,KAWIN,ywsakgrncicl,WNI,SEUMUR HIDUP,10-03-2022,src/image.jpeg
BALI,DENPASAR,5551236847244384,Rosella Marvis,mxwggxwi,26-11-2011,LAKI-LAKI,O,jl. mhyfe suswgcm 2,351/694,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,edtemxsgviem,WNI,SEUMUR HIDUP,20-03-2022,src/image.jpeg
BALI,DENPASAR,5951675048316663,Pricilla Demarcus,mrepftch,30-08-1996,LAKI-LAKI,A,jl. lloim denmxsg 0,350/427,denpasar,denpasar utara,HINDU,BELUM KAWIN,fmghxaddwqpl,WNI,SEUMUR HIDUP,31-07-2021,src/image.jpeg
BALI,DENPASAR,5222173660765555,Kerry Hilda,tzgbllim,03-04-2004,LAKI-LAKI,AB,jl. ajoxv hfwwajc 2,474/894,denpasar,denpasar utara,KONGHUCU,KAWIN,ubcrvzsebova,WNI,SEUMUR HIDUP,09-12-2021,src/image.jpeg
BALI,DENPASAR,5419273251311958,Ezra Mervin,ankmwbng,08-05-1995,PEREMPUAN,O,jl. fsbin ubomiba 7,836/810,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,vnmkmengtbcl,WNI,SEUMUR HIDUP,06-05-2022,src/image.jpeg
BALI,DENPASAR,5291766952826837,Janina Tonya,vsnxalca,13-07-2007,PEREMPUAN,B,jl. oauur vohsnrf 3,564/375,denpasar,denpasar utara,KONGHUCU,KAWIN,lnokzmyzjclu,WNI,SEUMUR HIDUP,12-08-2021,src/image.jpeg
BALI,DENPASAR,5848988395046008,Ali Eliz,qrgdppzr,21-04-1997,PEREMPUAN,O,jl. fsmpn cfqiypo 3,729/595,denpasar,denpasar utara,HINDU,BELUM KAWIN,ujkdqjluqanm,WNI,SEUMUR HIDUP,17-09-2021,src/image.jpeg
BALI,DENPASAR,5710851100682077,Karan Bradley,qhezdylc,06-08-2006,LAKI-LAKI,B,jl. avypd ezdqcsw 5,836/827,denpasar,denpasar utara,HINDU,KAWIN,tepecniayhdk,WNI,SEUMUR HIDUP,20-02-2022,src/image.jpeg
BALI,DENPASAR,5611970001026683,Lucille Sherril,ppfvjhaw,22-11-1999,PEREMPUAN,AB,jl. mswme vwxjvak 3,763/431,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,hpbobsepdvgb,WNI,SEUMUR HIDUP,26-03-2022,src/image.jpeg
BALI,DENPASAR,5903447640308134,Jackqueline Charmaine,ypkdnpwu,20-07-2013,LAKI-LAKI,O,jl. pvgkb ooqqqkm 1,217/850,denpasar,denpasar utara,HINDU,KAWIN,gwxvbcxuuhwv,WNI,SEUMUR HIDUP,11-08-2021,src/image.jpeg
BALI,DENPASAR,5481355014946137,Wanetta Brook,kdmpvkfl,01-05-1994,PEREMPUAN,O,jl. ivmls bvrvhwd 8,728/106,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,tyqvgyqxqixv,WNI,SEUMUR HIDUP,01-05-2022,src/image.jpeg
BALI,DENPASAR,5115297881209291,Ying Charlsie,jmguvolu,17-03-1997,LAKI-LAKI,O,jl. betlo xqumonv 2,578/481,denpasar,denpasar utara,KONGHUCU,KAWIN,ivrzdeyezmlt,WNI,SEUMUR HIDUP,09-05-2022,src/image.jpeg
BALI,DENPASAR,5282809050662726,Leighann Tawna,lniweltn,03-11-2008,PEREMPUAN,O,jl. ptgcx muvhukl 4,927/209,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,gtxewpfxltok,WNI,SEUMUR HIDUP,15-08-2021,src/image.jpeg
BALI,DENPASAR,5706883200281169,Arline Jacquline,byibishk,26-07-2011,PEREMPUAN,O,jl. pczdu oxigzes 9,412/538,denpasar,denpasar utara,HINDU,KAWIN,trdjpemccrhq,WNI,SEUMUR HIDUP,08-07-2021,src/image.jpeg
BALI,DENPASAR,5469878936637526,Latisha Lisette,xulsavae,06-09-2018,PEREMPUAN,O,jl. cdrph nlaztbf 2,261/489,denpasar,denpasar utara,KRISTEN,BELUM KAWIN,cewljjwtlwov,WNI,SEUMUR HIDUP,27-04-2022,src/image.jpeg
BALI,DENPASAR,5370405091328854,Randy Joaquina,ixmqrbar,04-07-2007,PEREMPUAN,AB,jl. fdqzb ghsdvjf 4,502/074,denpasar,denpasar utara,KATOLIK,KAWIN,yuqdkzyomrws,WNI,SEUMUR HIDUP,31-03-2022,src/image.jpeg
BALI,DENPASAR,5744897164231730,Stan Mack,soijygaz,02-05-2012,PEREMPUAN,B,jl. afuwy ddzunin 7,418/016,denpasar,denpasar utara,KONGHUCU,KAWIN,iojnbyvrcbiv,WNI,SEUMUR HIDUP,29-11-2021,src/image.jpeg
BALI,DENPASAR,5098256480383070,Claudette Bethany,edtsqsrs,20-09-1998,PEREMPUAN,O,jl. txtyu lvxmepp 6,400/853,denpasar,denpasar utara,HINDU,BELUM KAWIN,gzwgftrkygre,WNI,SEUMUR HIDUP,11-01-2022,src/image.jpeg
